,pcode,domain,depth,complexity,difficulty,error,answer,correct
104,104,"[('함수', '다항함수의 그래프', '절댓값 기호가 있는 방정식의 그래프'), ('도형의 방정식', '도형의 이동', '평행이동'), ('도형의 방정식', '원의 방정식', '두 원의 위치 관계')]",3,3,64,0,2,1
105,105,"[('집합과 명제', '명제와 조건', '충분조건, 필요조건')]",3,1,29,0,2,1
106,106,"[('다항식', '인수분해', '기본 공식의 활용')]",3,1,25,0,3,1
107,107,"[('경우의 수', '순열과 조합', '순열'), ('함수', '합성함수와 역함수', '합성함수'), ('집합과 명제', '명제와 조건', '충분조건, 필요조건')]",3,3,47,0,3,1
108,108,"[('실수와 허수', '실수', '실수')]",3,1,63,0,2,0
109,109,"[('집합과 명제', '집합의 연산법칙', '유한집합의 원소의 개수')]",3,1,46,0,3,1
110,110,"[('도형의 방정식', '원의 방정식', '원의 방정식')]",3,1,47,0,2,0
111,111,"[('실수와 허수', '복소수', '허수와 복소수')]",3,1,65,0,4,0
112,112,"[('집합과 명제', '집합의 연산법칙', '집합의 연산법칙')]",3,1,19,0,4,0
113,113,"[('도형의 방정식', '도형의 이동', '대칭이동'), ('방정식과 부등식', '일차부등식과 연립일차부등식', '여러 가지 부등식'), ('도형의 방정식', '직선의 방정식', '자취 문제(직선)')]",3,3,45,0,1,1
114,114,"[('도형의 방정식', '직선의 방정식', '직선의 방정식')]",3,1,36,0,4,0
115,115,"[('도형의 방정식', '직선의 방정식', '직선의 방정식')]",3,1,25,0,4,1
116,116,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,26,0,4,1
117,117,"[('방정식과 부등식', '일차, 이차방정식', '일차방정식의 해법')]",3,1,23,0,4,1
118,118,"[('방정식과 부등식', '최대와 최소', '제한된 범위에서의 최대와 최소'), ('집합과 명제', '집합', '합집합, 교집합, 여집합, 차집합')]",3,2,53,0,4,1
119,119,"[('함수', '다항함수의 그래프', '이차함수의 그래프')]",3,1,62,0,2,0
120,120,"[('방정식과 부등식', '삼차방정식과 사차방정식', '삼차방정식과 사차방정식의 해법')]",3,1,33,0,2,1
121,121,"[('방정식과 부등식', '연립방정식', '공통근')]",3,1,34,0,3,0
122,122,"[('실수와 허수', '복소수', '복소수의 연산'), ('실수와 허수', '복소수', '복소수의 연산'), ('다항식', '다항식의 연산', '다항식의 덧셈, 뺄셈')]",3,3,81,0,3,1
123,123,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,14,0,2,1
124,124,"[('집합과 명제', '명제의 증명', '절대부등식의 증명')]",3,1,56,0,3,1
125,125,"[('함수', '무리함수의 그래프', '무리식')]",3,1,44,0,3,0
126,126,"[('방정식과 부등식', '연립방정식', '부정방정식')]",3,1,34,0,2,1
127,127,"[('집합과 명제', '집합의 연산법칙', '유한집합의 원소의 개수')]",3,1,29,0,2,1
128,128,"[('실수와 허수', '복소수', '허수와 복소수')]",3,1,45,0,3,1
129,129,"[('방정식과 부등식', '일차부등식과 연립일차부등식', '연립일차부등식의 해법'), ('방정식과 부등식', '이차방정식의 근과 계수의 관계', '이차방정식의 근과 계수의 관계'), ('도형의 방정식', '평면좌표', '좌표와 자취')]",3,3,62,0,1,1
130,130,"[('실수와 허수', '실수', '정수의 분류')]",3,1,62,0,1,1
131,131,"[('실수와 허수', '복소수', '복소수의 연산')]",3,1,8,0,2,1
132,132,"[('집합과 명제', '집합의 연산법칙', '집합의 연산법칙')]",3,1,15,0,4,1
133,133,"[('실수와 허수', '복소수', '허수와 복소수')]",3,1,62,0,3,0
134,134,"[('다항식', '항등식과 미정계수', '항등식의 성질과 미정계수법'), ('함수', '함수', '일대일대응')]",3,2,52,0,2,1
135,135,"[('다항식', '다항식의 연산', '곱셈공식')]",3,1,35,0,4,1
136,136,"[('방정식과 부등식', '이차방정식의 판별식', '이차방정식의 판별식')]",3,1,27,0,3,0
137,137,"[('경우의 수', '순열과 조합', '순열'), ('실수와 허수', '실수', '제곱근, 세제곱근과 그 연산')]",3,2,38,0,3,1
138,138,"[('다항식', '다항식의 연산', '다항식의 덧셈, 뺄셈'), ('다항식', '항등식과 미정계수', '다항식의 나눗셈과 항등식'), ('경우의 수', '순열과 조합', '조합')]",3,3,77,0,2,0
139,139,"[('집합과 명제', '집합', '집합과 원소'), ('다항식', '나머지 정리', '나머지 정리'), ('집합과 명제', '집합', '집합의 포함 관계')]",3,3,80,0,1,1
140,140,"[('경우의 수', '순열과 조합', '순열')]",3,1,7,0,2,0
141,141,"[('집합과 명제', '집합', '집합의 포함 관계')]",3,1,50,0,4,0
142,142,"[('실수와 허수', '실수', '정수의 분류')]",3,1,32,0,2,0
143,143,"[('도형의 방정식', '직선의 방정식', '자취 문제(직선)')]",3,1,26,0,2,0
144,144,"[('방정식과 부등식', '최대와 최소', '판별식을 이용하는 최대와 최소')]",3,1,47,0,4,1
145,145,"[('다항식', '나머지 정리', '나머지 정리'), ('함수', '유리함수의 그래프', '유리식'), ('함수', '다항함수의 그래프', '일차함수의 그래프')]",3,3,82,0,2,0
146,146,"[('함수', '다항함수의 그래프', '이차함수의 그래프')]",3,1,18,0,2,1
147,147,"[('다항식', '인수분해', '기본 공식의 활용')]",3,1,6,0,4,1
148,148,"[('경우의 수', '순열과 조합', '순열')]",3,1,15,0,4,0
149,149,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,8,0,1,1
150,150,"[('경우의 수', '순열과 조합', '순열'), ('방정식과 부등식', '연립방정식', '연립일차방정식의 해법')]",3,2,22,0,3,0
151,151,"[('경우의 수', '순열과 조합', '순열')]",3,1,11,0,4,1
152,152,"[('함수', '유리함수의 그래프', '유리식')]",3,1,35,0,3,1
153,153,"[('경우의 수', '순열과 조합', '조합'), ('도형의 방정식', '원의 방정식', '원의 방정식'), ('도형의 방정식', '직선의 방정식', '정점을 지나는 직선')]",3,3,57,0,1,0
154,154,"[('방정식과 부등식', '최대와 최소', '제한된 범위에서의 최대와 최소'), ('실수와 허수', '복소수', '복소수의 연산'), ('다항식', '다항식의 연산', '다항식의 정리')]",3,3,82,0,3,0
155,155,"[('도형의 방정식', '평면좌표', '두 점 사이의 거리')]",3,1,32,0,1,1
156,156,"[('다항식', '항등식과 미정계수', '항등식의 성질과 미정계수법')]",3,1,35,0,4,1
157,157,"[('실수와 허수', '실수', '실수')]",3,1,25,0,3,1
158,158,"[('집합과 명제', '집합의 연산법칙', '집합의 연산법칙'), ('함수', '무리함수의 그래프', '무리함수의 그래프'), ('실수와 허수', '실수', '실수')]",3,3,63,0,4,0
159,159,"[('다항식', '인수분해', '인수분해의 기본 공식'), ('집합과 명제', '명제와 조건', '명제의 역과 대우'), ('방정식과 부등식', '이차방정식의 근과 계수의 관계', '이차방정식의 실근의 부호')]",3,3,57,0,2,1
160,160,"[('방정식과 부등식', '일차, 이차방정식', '일차방정식의 해법')]",3,1,24,0,2,1
161,161,"[('도형의 방정식', '평면좌표', '좌표와 자취'), ('함수', '다항함수의 그래프', '이차함수의 그래프')]",3,2,27,0,4,0
162,162,"[('실수와 허수', '복소수', '허수와 복소수')]",3,1,8,0,2,1
163,163,"[('함수', '유리함수의 그래프', '유리함수의 그래프')]",3,1,45,0,4,0
164,164,"[('집합과 명제', '명제와 조건', '충분조건, 필요조건')]",3,1,41,0,3,1
165,165,"[('도형의 방정식', '원의 방정식', '원의 방정식'), ('다항식', '인수분해', '다항식의 최대공약수와 최소공배수'), ('다항식', '인수분해', '인수분해의 기본 공식')]",3,3,69,0,1,1
166,166,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,16,0,4,0
167,167,"[('함수', '무리함수의 그래프', '무리식')]",3,1,16,0,4,1
168,168,"[('방정식과 부등식', '일차부등식과 연립일차부등식', '여러 가지 부등식')]",3,1,62,0,1,1
169,169,"[('함수', '합성함수와 역함수', '역함수')]",3,1,50,0,2,1
170,170,"[('집합과 명제', '명제와 조건', '명제와 조건')]",3,1,54,0,1,0
171,171,"[('경우의 수', '경우의 수', '경우의 수'), ('실수와 허수', '실수', '정수의 분류'), ('함수', '합성함수와 역함수', '역함수')]",3,3,42,0,1,1
172,172,"[('실수와 허수', '복소수', '복소수의 연산')]",3,1,45,0,1,0
173,173,"[('다항식', '항등식과 미정계수', '항등식의 성질과 미정계수법')]",3,1,30,0,2,1
174,174,"[('방정식과 부등식', '최대와 최소', '판별식을 이용하는 최대와 최소')]",3,1,10,0,1,1
175,175,"[('함수', '함수', '함수')]",3,1,13,0,4,1
176,176,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,7,0,2,1
177,177,"[('실수와 허수', '실수', '정수의 분류')]",3,1,19,0,2,1
178,178,"[('실수와 허수', '복소수', '허수와 복소수')]",3,1,37,0,3,0
179,179,"[('집합과 명제', '명제의 증명', '명제의 증명'), ('도형의 방정식', '도형의 이동', '대칭이동')]",3,2,29,0,4,0
180,180,"[('실수와 허수', '실수', '정수의 분류')]",3,1,18,0,1,1
181,181,"[('실수와 허수', '실수', '실수')]",3,1,26,0,3,1
182,182,"[('다항식', '나머지 정리', '인수정리와 고차식의 인수분해'), ('다항식', '나머지 정리', '나머지 정리'), ('방정식과 부등식', '이차방정식과 이차함수', '포물선과 직선의 위치 관계')]",3,3,47,0,4,0
183,183,"[('다항식', '항등식과 미정계수', '다항식의 나눗셈과 항등식')]",3,1,35,0,3,1
184,184,"[('집합과 명제', '집합', '집합의 포함 관계')]",3,1,61,0,4,1
185,185,"[('실수와 허수', '실수', '실수'), ('집합과 명제', '집합의 연산법칙', '집합의 연산법칙')]",3,2,37,0,3,0
186,186,"[('함수', '무리함수의 그래프', '무리함수의 그래프')]",3,1,39,0,4,1
187,187,"[('경우의 수', '순열과 조합', '순열')]",3,1,55,0,2,1
188,188,"[('방정식과 부등식', '이차방정식의 근과 계수의 관계', '이차방정식의 실근의 부호')]",3,1,46,0,1,0
189,189,"[('함수', '다항함수의 그래프', '일차함수의 그래프')]",3,1,25,0,2,1
190,190,"[('실수와 허수', '실수', '제곱근, 세제곱근과 그 연산')]",3,1,60,0,2,1
191,191,"[('도형의 방정식', '평면좌표', '좌표와 자취')]",3,1,6,0,2,0
192,192,"[('다항식', '인수분해', '기본 공식의 활용')]",3,1,17,0,1,1
193,193,"[('함수', '합성함수와 역함수', '합성함수')]",3,1,59,0,3,0
194,194,"[('방정식과 부등식', '일차부등식과 연립일차부등식', '연립일차부등식의 해법')]",3,1,31,0,1,1
195,195,"[('방정식과 부등식', '이차방정식의 근과 계수의 관계', '이차방정식의 실근의 부호')]",3,1,25,0,3,1
196,196,"[('방정식과 부등식', '최대와 최소', '이차함수의 최대와 최소')]",3,1,63,0,4,1
197,197,"[('경우의 수', '순열과 조합', '순열'), ('도형의 방정식', '원의 방정식', '원과 직선의 위치 관계'), ('집합과 명제', '명제의 증명', '절대부등식의 활용')]",3,3,85,0,3,1
198,198,"[('실수와 허수', '복소수', '복소수의 연산')]",3,1,8,0,3,1
199,199,"[('함수', '유리함수의 그래프', '유리식')]",3,1,59,0,4,0
200,200,"[('도형의 방정식', '원의 방정식', '원의 방정식'), ('함수', '함수', '함수'), ('실수와 허수', '실수', '정수의 분류')]",3,3,45,0,4,0
201,201,"[('실수와 허수', '실수', '제곱근, 세제곱근과 그 연산')]",3,1,33,0,4,0
202,202,"[('함수', '다항함수의 그래프', '이차함수의 그래프')]",3,1,20,0,4,0
203,203,"[('실수와 허수', '실수', '정수의 분류')]",3,1,52,0,1,0
204,204,"[('실수와 허수', '복소수', '복소수의 연산')]",3,1,34,0,1,1
205,205,"[('집합과 명제', '명제와 조건', '명제와 조건')]",3,1,52,0,3,1
206,206,"[('집합과 명제', '명제와 조건', '충분조건, 필요조건')]",3,1,15,0,4,1
207,207,"[('경우의 수', '순열과 조합', '순열')]",3,1,40,0,3,1
208,208,"[('함수', '합성함수와 역함수', '역함수'), ('도형의 방정식', '원의 방정식', '원과 직선의 위치 관계'), ('다항식', '나머지 정리', '인수정리와 고차식의 인수분해')]",3,3,79,0,1,1
209,209,"[('실수와 허수', '실수', '실수')]",3,1,46,0,1,1
210,210,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,5,0,2,1
211,211,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,32,0,1,1
212,212,"[('다항식', '나머지 정리', '나머지 정리')]",3,1,42,0,4,0
213,213,"[('도형의 방정식', '원의 방정식', '두 원의 위치 관계')]",3,1,27,0,4,1
214,214,"[('집합과 명제', '명제와 조건', '명제의 역과 대우')]",3,1,17,0,4,1
215,215,"[('방정식과 부등식', '이차방정식의 근과 계수의 관계', '이차방정식의 정수근')]",3,1,38,0,2,1
216,216,"[('실수와 허수', '복소수', '복소수의 연산')]",3,1,57,0,1,1
217,217,"[('집합과 명제', '집합의 연산법칙', '유한집합의 원소의 개수')]",3,1,17,0,1,1
218,218,"[('함수', '유리함수의 그래프', '유리식')]",3,1,32,0,4,1
219,219,"[('함수', '다항함수의 그래프', '이차함수의 그래프')]",3,1,41,0,3,1
220,220,"[('방정식과 부등식', '이차부등식과 연립이차부등식', '연립이차부등식의 해법')]",3,1,6,0,4,1
221,221,"[('경우의 수', '순열과 조합', '순열')]",3,1,21,0,2,1
222,222,"[('집합과 명제', '명제와 조건', '명제의 역과 대우')]",3,1,22,0,3,1
223,223,"[('다항식', '다항식의 연산', '곱셈공식')]",3,1,14,0,1,1
224,224,"[('방정식과 부등식', '연립방정식', '연립일차방정식의 해법')]",3,1,14,0,4,1
225,225,"[('함수', '합성함수와 역함수', '역함수')]",3,1,39,0,4,0
226,226,"[('집합과 명제', '집합의 연산법칙', '집합의 연산법칙')]",3,1,49,0,3,1
227,227,"[('도형의 방정식', '직선의 방정식', '점과 직선 사이의 거리')]",3,1,45,0,3,1
228,228,"[('도형의 방정식', '원의 방정식', '원과 직선의 위치 관계')]",3,1,37,0,3,1
229,229,"[('도형의 방정식', '도형의 이동', '평행이동')]",3,1,31,0,4,1
230,230,"[('실수와 허수', '복소수', '허수와 복소수')]",3,1,15,0,4,1
231,231,"[('다항식', '항등식과 미정계수', '항등식의 성질과 미정계수법')]",3,1,64,0,2,0
232,232,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,12,0,1,1
233,233,"[('집합과 명제', '명제의 증명', '명제의 증명')]",3,1,20,0,1,1
234,234,"[('함수', '무리함수의 그래프', '무리식')]",3,1,57,0,4,0
235,235,"[('함수', '유리함수의 그래프', '유리함수의 그래프')]",3,1,38,0,1,0
236,236,"[('도형의 방정식', '직선의 방정식', '자취 문제(직선)')]",3,1,62,0,3,1
237,237,"[('함수', '함수', '함수의 그래프')]",3,1,44,0,4,0
238,238,"[('경우의 수', '순열과 조합', '순열'), ('방정식과 부등식', '일차부등식과 연립일차부등식', '부등식의 성질과 일차부등식의 해법'), ('방정식과 부등식', '삼차방정식과 사차방정식', '삼차방정식과 사차방정식의 해법')]",3,3,78,0,4,1
239,239,"[('다항식', '다항식의 연산', '곱셈공식')]",3,1,47,0,2,1
240,240,"[('다항식', '다항식의 연산', '곱셈공식')]",3,1,56,0,3,1
241,241,"[('다항식', '다항식의 연산', '다항식의 곱셈, 나눗셈')]",3,1,36,0,4,0
242,242,"[('실수와 허수', '복소수', '허수와 복소수')]",3,1,6,0,4,0
243,243,"[('다항식', '다항식의 연산', '다항식의 덧셈, 뺄셈')]",3,1,6,0,3,1
244,244,"[('집합과 명제', '명제와 조건', '충분조건, 필요조건')]",3,1,52,0,4,1
245,245,"[('함수', '무리함수의 그래프', '무리식')]",3,1,65,0,1,0
246,246,"[('경우의 수', '순열과 조합', '조합')]",3,1,23,0,2,1
247,247,"[('방정식과 부등식', '이차방정식의 근과 계수의 관계', '이차방정식의 근과 계수의 관계')]",3,1,12,0,2,1
248,248,"[('방정식과 부등식', '일차부등식과 연립일차부등식', '부등식의 성질과 일차부등식의 해법')]",3,1,28,0,4,1
249,249,"[('다항식', '나머지 정리', '나머지 정리')]",3,1,62,0,1,1
